,IATA,IACO,Aerolinea,Llamada de Identificación,País
917,DB,MLT,Maleth-Aero,,Malta
918,TF,SCW,Malmö Aviation,SCANWING,Sweden
919,R5,MAC,Malta Air Charter,MALTA CHARTER,Malta
920,MA,MAH,Malév Hungarian Airlines,MALEV,Hungary
921,RI,MDL,Mandala Airlines,MANDALA,Indonesia
922,AE,MDA,Mandarin Airlines,MANDARIN,Taiwan
923,JE,MNO,Mango,TULCA,South Africa
924,6V,MRW,Mars RK,AVIAMARS,Ukraine
925,M7,MSL,Marsland Aviation,MARSLANDAIR,Sudan
926,MP,MPH,Martinair,MARTINAIR,Netherlands
927,H5,MVL,Mavial Magadan Airlines,Mavial,Russia
928,8M,MXL,Maxair,MAXAIR,Sweden
929,MY,MXJ,Maxjet Airways,MAX-JET,United States
930,MW,MYD,Maya Island Air,MYLAND,Belize
931,7M,MYI,Mayair,MAYAIR,Mexico
932,M8,MKN,Mekong Airlines,MEKONG AIRLINES,Cambodia
933,IM,MNJ,Menajet,MENAJET,Lebanon
934,IG,ISS,Meridiana,MERIDIANA,Italy
935,MZ,MNA,Merpati Nusantara Airlines,MERPATI,Indonesia
936,YV,ASH,Mesa Airlines,AIR SHUTTLE,United States
937,XJ,MES,Mesaba Airlines,MESABA,United States
938,GJ,MXC,Mexicargo,MEXICARGO,Mexico
939,MX,MXA,Mexicana de Aviación,MEXICANA,Mexico
940,LL,BSK,Miami Air International,BISCAYNE,United States
941,ME,MEA,Middle East Airlines,CEDAR JET,Lebanon
942,JI,MDW,Midway Airlines (1993–2003),MIDWAY,United States
943,ML,MDW,Midway Airlines (1976–1991),MIDWAY,United States
944,YX,MEP,Midwest Airlines,MIDEX,United States
945,MY,MWA,Midwest Airlines (Egypt),,Egypt
946,MJ,MLR,Mihin Lanka,MIHIN LANKA,Sri Lanka
947,M4,MSA,Mistral Air,AIRMERCI,Italy
948,MW,MUL,Mokulele Airlines,MUKULELE,United States
949,2M,MDV,Moldavian Airlines,MOLDAVIAN,Moldova
950,ZB,MON,Monarch Airlines,MONARCH,United Kingdom
951,YM,MGX,Montenegro Airlines,MONTENEGRO,Montenegro
952,5M,MNT,Montserrat Airways,MONTSERRAT,Montserrat
953,3R,GAI,Moskovia Airlines,GROMOV AIRLINE,Russia
954,M9,MSI,Motor Sich Airlines,MOTOR SICH,Ukraine
955,NM,NZM,Mount Cook Airline,MOUNTCOOK,New Zealand
956,N4,MTC,Mountain Air Company,MOUNTAIN LEONE,Sierra Leone
957,Z9,MYM,MYAirline,MYAIR,Malaysia
958,VZ,MYT,MyTravel Airways,KESTREL,United Kingdom
959,UB,UBA,Myanma Airways,UNIONAIR,Myanmar
960,8M,MMA,Myanmar Airways International,MYANMAR,Myanmar
961,M2,MHV,MHS Aviation GmbH,SNOWCAP,Germany
962,ZT,AWC,Titan Airways,ZAP,United Kingdom
963,6N,NIN,Niger Airlines,NIGER AIRLINES,Niger
964,N5,FEY,Fly Easy,FLYEASY,India
965,DV,ACK,Nantucket Airlines,ACK AIR,United States
966,UE,NAS,Nasair,NASAIRWAYS,Eritrea
967,N4,NCN,National Airlines,,Chile
968,N7,ROK,National Airlines,RED ROCK,United States
969,NA,NAL,National Airlines,NATIONAL,United States
970,N8,NCR,National Air Cargo dba National Airlines,NATIONAL CARGO,United States
971,9Y,NAE,National Airways Ethiopia,NATIONAL,Ethiopia
972,IN,NIH,NAM Air,NAM,Indonesia
973,NC,NJS,National Jet Systems,NATIONAL JET,Australia
974,CE,NTW,Nationwide Airlines,NATIONWIDE,South Africa
975,RA,RNA,Nepal Airlines,ROYAL NEPAL,Nepal
976,NO,NOS,Neos,MOONFLOWER,Italy
977,1I,EJA,NetJets,EXECJET,United States
978,EJ,NEA,New England Airlines,NEW ENGLAND,United States
979,2N,NTJ,NextJet,NEXTJET,Sweden
980,HG,NLY,Niki,FLYNIKI,Austria
981,KZ,NCA,Nippon Cargo Airlines,NIPPON CARGO,Japan
982,DD,NOK,Nok Air,NOK AIR,Thailand
983,XW,NCT,NokScoot,BIG BIRD,Thailand
984,5N,AUL,Nordavia,ARCHANGELSK AIR,Russia
985,JH,NES,Nordeste Linhas Aéreas Regionais,NORDESTE,Brazil
986,6N,NRD,Nordic Regional,NORTH RIDER,Sweden
987,Y7,TYA,NordStar,TAIMYR,Russia
988,N4,NWS,Nordwind Airlines,NORDLAND,Russia
989,N0,NBT,Norse Atlantic Airways,LONGSHIP,Norway
990,NA,NAO,North American Airlines,NORTH AMERICAN,United States
991,N/A,N/A,North Coast Air Services Ltd,NORTH COAST,Canada
992,M3,NFA,North Flying,NORTH FLYING,Denmark
993,HW,NWL,North-Wright Airways,NORTHWRIGHT,Canada
994,NC,NAC,Northern Air Cargo,YUKON,United States
995,7H,RVF,Northern Pacific Airways,—Raven Flight,United States
996,NW,NWA,Northwest Airlines,NORTHWEST,United States
997,FY,NWR,Northwest Regional Airlines,,Australia
998,J3,PLR,Northwestern Air,POLARIS,Canada
999,D8*,IBK,Norwegian Air International,NORTRANS,Ireland
1000,DY,NOZ,Norwegian Air Shuttle,NORDIC,Norway
1001,DI,NRS,Norwegian Air UK,REDNOSE*,United Kingdom
1002,DN,NAA,Norwegian Air Argentina,NORUEGA,Argentina
1003,DU,NLH,Norwegian Long Haul,NORSTAR,Norway
1004,DH,NAN,Norwegian Air Norway,NORSHIP,Norway
1005,D8,NSZ,Norwegian Air Sweden,REDNOSE,Sweden
1006,BJ,LBT,Nouvel Air Tunisie,NOUVELAIR,Tunisia
1007,O9,NOV,Nova Airline,NOVANILE,Sudan
1008,1I,NVR,Novair,NAVIGATOR,Sweden
1009,VQ,NVQ,Novo Air,NOVO AIR,Bangladesh
1010,N6,ACQ,Nuevo Continente,AERO CONTINENTE,Peru
1011,1I,NJE,NetJets Europe,FRACTION,Portugal
1012,IP,ONS,One Airlines,AIR DREAMS,Chile
1013,UQ,OCM,O'Connor Airlines,OCONNOR,Australia
1014,OB,AAN,Oasis Airlines,Oasis,Spain
1015,O8,OHK,Oasis Hong Kong Airlines,OASIS,Hong Kong
1016,VC,VCX,Ocean Airlines,OCEANCARGO,Italy
1017,O6,ONE,Avianca Brasil,OCEANAIR,Brazil
1018,OL,OLT,OLT Express Germany,OLTRA,Germany
1019,OA,OAL,Olympic Air,OLYMPIC,Greece
1020,WY,OMA,Oman Air,OMAN AIR,Oman
1021,OV,OMS,SalamAir,MAZOON,Oman
1022,OE,LDM,Laudamotion,LAUDA MOTION,Austria
1023,OY,OAE,Omni Air International,OMNI-EXPRESS,United States
1024,8Q,OHY,Onur Air,ONUR AIR,Turkey
1025,R2,ORB,Orenburg Airlines,ORENBURG,Russia
1026,OX,OEA,Orient Thai Airlines,ORIENT THAI,Thailand
1027,QO,OGN,Origin Pacific Airways,ORIGIN,New Zealand
1028,ON,RON,Our Airline,OUR AIRLINE,Nauru
1029,OJ,OLA,Overland Airways,OVERLAND,Nigeria
1030,OZ,OZR,Ozark Air Lines,OZARK,United States
1031,O7,OZJ,OzJet,AUSJET,Australia
1032,OA,OAL,Olympic Airlines,OLYMPIC,Greece
1033,OB,AAN,Oasis International AirlinesNow assigned to Boliviana de Aviacion (BoA),OASIS,Spain
1034,OK,CSA,Czech Airlines,CSA-LINES,Czech Republic
1035,PV,PNR,PAN Air,SKYJET,Spain
1036,9Q,PBA,PB Air,PEEBEE AIR,Thailand
1037,PU,PUA,PLUNA,PLUNA,Uruguay
1038,U4,PMT,PMTair,MULTITRADE,Cambodia
1039,OH,JIA,PSA Airlines,BLUE STREAK,United States
1040,Y5,PCE,Pace Airlines,PACE,United States
1041,BL,PIC,Pacific Airlines,PACIFIC AIRLINES,Vietnam
1042,DJ,PBN,Pacific Blue,BLUEBIRD,New Zealand
1043,8P,PCO,Pacific Coastal Airlines,PASCO,Canada
1044,Q8,PEC,Pacific East Asia Cargo Airlines,PAC-EAST CARGO,Philippines
1045,LW,NMI,Pacific Wings,TSUNAMI,United States
1046,PK,PIA,Pakistan International Airlines,PAKISTAN,Pakistan
1047,GP,PTP,Palau Trans Pacific Airlines,TRANS PACIFIC,Palau
1048,PF,PNW,Palestinian Airlines,PALESTINIAN,Egypt
1049,NR,PIR,Pamir Airways,PAMIR,Afghanistan
1050,7N,PWD,PAWA Dominicana,,Dominican Republic
1051,PA,PAA,Pan American Airways,,United States
1052,PA,PAA,Pan American World Airways,CLIPPER,United States
1053,P8,PTN,Pantanal Linhas Aéreas,PANTANAL,Brazil
1054,I7,PMW,Paramount Airways,PARAWAY,India
1055,P3,PTB,Passaredo Transportes Aéreos,PASSAREDO,Brazil
1056,HP,HPA,Pearl Airways,PEARL AIRWAYS,Haiti
1057,PC,PGT,Pegasus Airlines,SUNTURK,Turkey
1058,PE,PEV,People's,PEOPLES,Austria
1059,KS,PEN,Peninsula Airways,PENINSULA,United States
1060,P9,PGP,Perm Airlines,PERM AIR,Russia
1061,P9,PVN,Peruvian Airlines,,Peru
1062,Z2,EZD,Philippines AirAsia,REDHOT,Philippines
1063,PR,PAL,Philippine Airlines,PHILIPPINE,Philippines
1064,9R,VAP,Phuket Air,PHUKET AIR,Thailand
1065,PI,PAI,Piedmont Airlines (1948-1989),PIEDMONT,United States
1066,9E,FLG,Pinnacle Airlines,FLAGSHIP,United States
1067,OG,FPY,Play,PLAYER,Iceland
1068,PO,PAC,Polar Air Cargo,POLAR,United States
1069,PH,PAO,Polynesian Airlines,POLYNESIAN,Samoa
1070,DJ,PLB,Polynesian Blue,POLYBLUE,New Zealand
1071,PD,POE,Porter Airlines,PORTER,Canada
1072,NI,PGA,Portugalia,PORTUGALIA,Portugal
1073,M4,MSA,Poste Air Cargo,AIRMERCI,Italy
1074,BK,PDC,Potomac Air,DISTRICT,United States
1075,PW,PRF,Precision Air,PRECISION AIR,Tanzania
1076,TO,PSD,President Airlines,,Cambodia
1077,MO,AUH,Presidential Flight,SULTAN,United Arab Emirates
1078,FE,WCP,Primaris Airlines,WHITECAP,United States
1079,8W,PWF,Private Wings Flugcharter,PRIVATE WINGS,Germany
1080,P6,PVG,Privilege Style Líneas Aéreas,PRIVILEGE,Spain
1081,P0,PFZ,Proflight Zambia,PROFLIGHT-ZAMBIA,Zambia
1082,PB,SPR,Provincial Airlines,SPEEDAIR,Canada
1083,FV,PLK,Pulkovo Aviation Enterprise,PULKOVO,Russia
1084,QF,QFA,Qantas,QANTAS,Australia
1085,QF,QLK,QantasLink,QLINK,Australia
1086,QF,QJE,QantasLink,QJET,Australia
1087,QR,QTR,Qatar Airways,QATARI,Qatar
1088,7H,RVF,Ravn Alaska,RAVEN FLIGHT,United States
1089,8L,RHC,Redhill Aviation,REDAIR,United Kingdom
1090,V4,REK,Reem Air,REEM AIR,Kyrgyzstan
1091,RX,RGE,Regent Airways,REGENT,Bangladesh
1092,YS,RAE,Régional,REGIONAL EUROPE,France
1093,FN,RGL,Regional Air Lines,MAROC REGIONAL,Morocco
1094,ZL,RXA,Regional Express,REX,Australia
1095,P7,REP,Regional Paraguaya,REGIOPAR,Paraguay
1096,3C,CEA,RegionsAir,CORP-X,United States
1097,QQ,ROA,Reno Air,RENO AIR,United States
1098,RC,REP,Republic Airlines,REPUBLIC,United States
1099,RW,RPA,Republic Airways,BRICKYARD,United States
1100,RH,RPH,Republic Express Airlines,PUBLIC EXPRESS,Indonesia
1101,C7,RLE,Rico Linhas Aéreas,RICO,Brazil
1102,E2,GRN,Rio Grande Air,GRANDE,United States
1103,RL,RIO,Rio Linhas Aéreas,RIO,Brazil
1104,SL,RSL,Rio Sul Serviços Aéreos Regionais,RIO SUL,Brazil
1105,V2,RBY,Vision Airlines,RUBY,United States
1106,FV,SDM,Rossiya,RUSSIA,Russia
1107,GZ,RAR,Air Rarotonga,AIR RAROTONGA,Cook Islands
1108,RR,RFR,Royal Air Force,RAFAIR,United Kingdom
1109,RS,MJN,Royal Air Force of Oman,MAJAN,Oman
1110,AT,RAM,Royal Air Maroc,ROYALAIR MAROC,Morocco
1111,R0,RPK,Royal Airlines,ROYAL PAKISTAN,Pakistan
1112,V5,RYL,Royal Aruban Airlines,ROYAL ARUBAN,Aruba
1113,BI,RBA,Royal Brunei Airlines,BRUNEI,Brunei
1114,RJ,RJA,Royal Jordanian,JORDANIAN,Jordan
1115,RK,RCT,Skyview Airways,GREENSKY,THAILAND
1116,RK,RKH,Royal Khmer Airlines,KHMER AIR,Cambodia
1117,RL,PPW,Royal Phnom Penh Airways,PHNOM-PENH AIR,Cambodia
1118,RR,RYS,Buzz (Ryanair),MAGIC SUN,Poland
1119,WR,HRH,Royal Tongan Airlines,TONGA ROYAL,Tonga
1120,P7,ESL,Russian Sky Airlines,RADUGA,Russia
1121,WB,RWD,Rwandair Express,RWANDAIR,Rwanda
1122,7S,RCT,Ryan Air Services,ARCTIC TRANSPORT,United States
1123,RD,RYN,Ryan International Airlines,RYAN INTERNATIONAL,United States
1124,FR,RYR,Ryanair,RYANAIR,Ireland
1125,RK,RUK,Ryanair UK,BLUEMAX,United Kingdom
1126,RT,BUG,UVT Aero,,Russia
1127,SS,CRL,Corsairfly,CORSAIR,France
1128,TR,TGW,Scoot,SCOOTER,Singapore
1129,IJ,SJO,Spring Airlines Japan,JEY SPRING,Japan
1130,6Y,ART,Smartlynx Airlines,SMART LYNX,Latvia
1131,QS,TVS,Smartwings,SKYTRAVEL,Czech Republic
1132,7O,TVL,Smartwings Hungary,TRAVEL SERVICE,Hungary
1133,3Z,TVP,Smartwings Poland,JETTRAVEL,Poland
1134,6D,TVQ,Smartwings Slovakia,SLOVAKTRAVEL,Slovakia
1135,E3,VGO,Sabaidee Airways,VIRGO,Thailand
1136,GG,KYE,Sky Lease Cargo,SKY CUBE,United States
1137,GW,SGR,SkyGreece Airlines,SKYGREECE,Greece
1138,SH,SHA,Sharp Airlines,SHARP,Australia
1139,N9,SHA,Shree Airlines,SHREEAIR,Nepal
1140,7E,AWU,Sylt Air GmbH,SYLT-AIR,Germany
1141,OL,SZB,Samoa Air,SAMOA,Samoa
1142,S4,RZO,SATA International,AIR AZORES,Portugal
1143,SA,SAA,South African Airways,SPRINGBOK,South Africa
1144,KV,SKV,Sky Regional Airlines,MAPLE,Canada
1145,W7,SAH,Sayakhat Airlines,SAYAKHAT,Kazakhstan
1146,NL,SAI,Shaheen Air,SHAHEEN AIR,Pakistan
1147,MM,SAM,SAM Colombia,SAM,Colombia
1148,SK,SAS,Scandinavian Airlines,SCANDINAVIAN,"Sweden, Denmark and Norway"
1149,PI,SGU,Sol del Paraguay,SOLPARAGUAYO,Paraguay
1150,UG,SEN,Tunisair Express,TUNEXPRESS,Tunisia
1151,S7,SBI,S7 Airlines,SIBERIAN AIRLINES,Russia
1152,Q7,SBM,SkyBahamas,SKY BAHAMAS,Bahamas
1153,BB,SBS,Seaborne Airlines,SEABORNE,United States
1154,PV,SBU,St Barth Commuter,BLACK FIN,France
1155,S5,SDG,Star Air (India),HISTAR,India
1156,JX,SJX,Starlux Airlines,STARWALKER,Taiwan
1157,K5,SQH,SeaPort Airlines,SASQUATCH,United States
1158,W3,SCL,Switfair Cargo,SWIFTAIR,Canada
1159,FP,AND,Servicios Aéreos de los Andes,SERVI ANDES,Peru
1160,SY,SCX,Sun Country Airlines,SUN COUNTRY,United States
1161,SG,SEJ,Spicejet,SPICEJET,India
1162,I6,SEQ,Sky Eyes,SKY EYES,Thailand
1163,EH,SET,SAETA,SAETA,Ecuador
1164,7G,SFJ,Star Flyer,STARFLYER,Japan
1165,FA,SFR,Safair,CARGO,South Africa
1166,N5,SGY,Skagway Air Service,SKAGWAY AIR,United States
1167,HZ,SHU,Sakhalinskie Aviatrassy(SAT),SATAIR,Russia
1168,SP,SAT,SATA Air Acores,SATA,Portugal
1169,ZY,SHY,Sky Airlines,ANTALYA BIRD,Turkey
1170,SQ,SIA,Singapore Airlines,SINGAPORE,Singapore
1171,5M,SIB,Sibaviatrans,SIBAVIA,Russia
1172,SI,SIH,Skynet Airlines,BLUEJET,Ireland
1173,3M,SIL,Silver Airways,SILVER WINGS,United States
1174,XS,SIT,SITA,,Belgium
1175,ZS,SMY,Sama Airlines,NAJIM,Saudi Arabia
1176,SQ,SQC,Singapore Airlines Cargo,SINGCARGO,Singapore
1177,FT,SRH,Siem Reap Airways,SIEMREAP AIR,Cambodia
1178,SX,SRK,Sky Work Airlines,SKYFOX,Switzerland
1179,SM,SRL,Swedline Express,Starline,Sweden
1180,D2,SSF,Severstal Air Company,SEVERSTAL,Russia
1181,VD,BBB,SwedJet Airways,BLACKBIRD,Sweden
1182,QF,SSQ,Sunstate Airlines,SUNSTATE,Australia
1183,5G,SSV,Skyservice Airlines,SKYTOUR,Canada
1184,RE,STK,Stobart Air,STOBART,Ireland
1185,FS,STU,Servicios de Transportes Aéreos Fueguinos,FUEGUINO,Argentina
1186,SD,SUD,Sudan Airways,SUDANAIR,Sudan
1187,PI,SUF,Sun Air (Fiji),SUNFLOWER,Fiji
1188,LW,FDY,Sun Air International,FRIENDLY,United States
1189,EZ,SUS,Sun Air of Scandinavia,SUNSCAN,Denmark
1190,SV,SVA,Saudia,SAUDIA,Saudi Arabia
1191,WN,SWA,Southwest Airlines,SOUTHWEST,United States
1192,A4,SWD,Southern Winds Airlines,SOUTHERN WINDS,Argentina
1193,WG,SWG,Sunwing Airlines,SUNWING,Canada
1194,WQ,SWQ,Swift Air(Interstate Equipment Leasing),SWIFTFLIGHT,United States
1195,LX,SWR,Swiss International Air Lines,SWISS,Switzerland
1196,SR,SWR,Swissair,SWISSAIR,Switzerland
1197,SR,SDR,Sundair,SUNDAIR,Germany
1198,LZ[61],SWU,Swiss Global Air Lines,EUROSWISS,Switzerland
1199,WV,SWV,Swe Fly,FLYING SWEDE,Sweden
1200,S8,SWW,Shovkoviy Shlyah,WAY AERO,Ukraine
1201,Q4,SWX,Swazi Express Airways,SWAZI EXPRESS,Eswatini
1202,WO,WSW,Swoop,SWOOP,Canada
1203,S8,SWZ,Skywise Airline,SKYWISE,South Africa
1204,XQ,SXS,SunExpress,SUNEXPRESS,Turkey
1205,RB,SYR,Syrian Arab Airlines,SYRIANAIR,Syrian Arab Republic
1206,AL,SYX,Skywalk Airlines,SKYWAY-EX,United States
1207,ZP,AZQ,Silk Way Airlines,SILK LINE,Azerbaijan
1208,7L,AZG,Silk Way West Airlines,SILK WEST,Azerbaijan
1209,E5,BRZ,Samara Airlines,BERYOZA,Russia
1210,E5,RBG,Air Arabia Egypt,ARABIA EGYPT,Egypt
1211,SC,CDG,Shandong Airlines,SHANDONG,China
1212,SK,CNO,SAS Braathens,SCANOR,Norway
1213,9C,CQH,Spring Airlines,AIR SPRING,China
1214,3U,CSC,Sichuan Airlines,SI CHUAN,China
1215,FM,CSH,Shanghai Airlines,SHANGHAI AIR,China
1216,ZH,CSZ,Shenzhen Airlines,SHENZHEN AIR,China
1217,8C,CXI,Corendon Airlines Europe,TOURIST,Malta
1218,7L,ERO,Sun D'Or,ECHO ROMEO,Israel
1219,NE,ESK,SkyEurope,RELAX,Slovakia
1220,CQ,EXL,Sunshine Express Airlines,,Australia
1221,SO,HKA,Superior Aviation,SPEND AIR,United States
1222,KI,SJB,SKS Airways,SOUTHER TIGER,Malaysia
1223,TE,IGA,Skytaxi,IGUANA,Poland
1224,JK,JKK,Spanair,SPANAIR,Spain
1225,RZ*,LRS,Sansa,,Costa Rica
1226,2G*,MRR,San Juan Airlines,MARINER,United States
1227,1Z,APD,Sabre Pacific,,Australia
1228,NK,NKS,Spirit Airlines,SPIRIT WINGS,United States
1229,S0,OKS,Slok Air Gambia,SLOK GAMBIA,Gambia
1230,SO,OSL,Sosoliso Airlines,SOSOLISO,Nigeria
1231,VA,OZW,Virgin Australia Regional Airlines,VELOCITY,Australia
1232,1I,PZR,Sky Trek International Airlines,PHAZER,United States
1233,SX,SKB,Skybus Airlines,SKYBUS,United States
1234,RU,SKI,SkyKing Turks and Caicos Airways,SKYKING,Turks and Caicos Islands
1235,S3,BBR,Santa Barbara Airlines,SANTA BARBARA,Venezuela
1236,XT,SKT,SkyStar Airways,SKY YOU,Thailand
1237,H2,SKU,Sky Airline,AEROSKY,Chile
1238,OO,SKW,SkyWest Airlines,SKYWEST,United States
1239,JZ,SKX,Skyways Express,SKY EXPRESS,Sweden
1240,BC,SKY,Skymark Airlines,SKYMARK,Japan
1241,LJ,SLA,Sierra National Airlines,SELAIR,Sierra Leone
1242,MI,SLK,SilkAir,SILKAIR,Singapore
1243,6Q,SLL,Slovak Airlines,SLOV LINE,Slovakia
1244,PY,SLM,Surinam Airways,SURINAM,Suriname
1245,NB,SNB,Sterling Airlines,STERLING,Denmark
1246,6J,SNJ,Solaseed Air,NEWSKY,Japan
1247,IE,SOL,Solomon Airlines,SOLOMON,Solomon Islands
1248,9X,SOU,Southern Airways,SOUTHERN EXPRESS,United States
1249,6W,SOV,Saratov Airlines Joint Stock Company,SARATOV AIR,Russia
1250,HZ,SOZ,Sat Airlines,SATCO,Kazakhstan
1251,S5,TCF,Shuttle America,MERCURY,United States
1252,DV,VSV,Scat Air,VLASTA,Kazakhstan
1253,O3,CSS,SF Airlines,SHUN FENG,China
1254,PQ,SQP,SkyUp,SKYUP,Ukraine
1255,S5,LLC,Small Planet Airlines,SMALL PLANET,Lithuania
1256,P7,LLP,Small Planet Airlines,SKYPOL,Poland
1257,P2,LLI,Small Planet Airlines,AURIGA,Italy
1258,5P,LLX,Small Planet Airlines,GERMANJET,Germany
1259,UL,ALK,SriLankan Airlines,SRILANKAN,Sri Lanka
1260,DJ,SRR,Star Air,WHITESTAR,Denmark
1261,V9,HCW,Star1 Airlines,STAR1,Lithuania
1262,Q4,TLK,Starlink Aviation,STARLINK,Canada
1263,XG,SXD,Sunexpress Deutschland,SUNRISE,Germany
1264,SO,AAS,Sunshine Airlines,,
1265,TC,ATC,Air Tanzania Company Limited,TANZANIA,Tanzania
1266,9L,TOW,AirTanker Services,TOWLINE,United Kingdom
1267,DG,SRQ,Cebgo,BLUE JAY,Philippines
1268,LS,EXS,Jet2,Channex,United Kingdom
1269,1L,OSY,Open Skies Consultative Commission,OPEN SKIES,United States
1270,2S,TGR,Satgur Air Transport,SATGURAIR,Liberia
1271,DT,DTA,TAAG Angola Airlines,DTA,Angola
1272,VR,TCV,TACV,CABOVERDE,Cape Verde
1273,TI,TWI,Tailwind Airlines,TAILWIND,Turkey
1274,PZ,LAP,TAM  Mercosur,PARAGUAYA,Paraguay
1275,EQ,TAE,TAME,TAME,Ecuador
1276,QT,TPA,TAMPA,TAMPA,Colombia
1277,TQ,TDM,Tandem  Aero,TANDEM,Moldova
1278,TP,TAP,TAP  Portugal,AIR PORTUGAL,Portugal
1279,K3,TQN,Taquan Air Services,TAQUAN,United States
1280,RO,ROT,Tarom,TAROM,Romania
1281,HJ,TMN,Tasman Cargo Airlines,TASMAN,Australia
1282,SF,DTH,Tassili  Airlines,TASSILI AIR,Algeria
1283,T6,TVR,Tavrey  Airlines,TAVREY,Ukraine
1284,L6,VNZ,Tbilaviamsheni,TBILAVIA,Georgia
1285,L9,TLW,Teamline  Air,Teamline,Austria
1286,U8,CYF,Tel Aviv Air,TUS AIR,Germany
1287,T2,TCG,Thai  Air Cargo,THAI CARGO,Thailand
1288,FD,AIQ,Thai  AirAsia,THAI ASIA,Thailand
1289,XJ,TAX,Thai  AirAsia X,EXPRESS WING,Thailand
1290,TG,THA,Thai Airways International,THAI,Thailand
1291,SL,TLM,Thai  Lion Mentari,MENTARI,Thailand
1292,9I,LLR,Thai Sky Airlines,THAI SKY AIR,Thailand
1293,WE,THD,Thai Smile  Airways,THAI SMILE,Thailand
1294,T9,TSX,Thai Star Airlines,THAI STAR,Thailand
1295,VZ,TVJ,Thai  Vietjet Air,THAIVIET JET,Thailand
1296,HQ,TCW,Thomas Cook Airlines,KESTREL,Belgium
1297,MT,TCX,Thomas Cook Airlines,KESTREL,United Kingdom
1298,GS,GCR,Tianjin  Airlines,BO HAI,China
1299,3P,TNM,Tiara Air,TIARA,Aruba
1300,TT,TGG,Tigerair Australia,TIGGOZ,Australia
1301,TR,TGW,Tigerair  Singapore,GO CAT,Singapore
1302,IT,TTW,Tigerair  Taiwan,SMART CAT,Taiwan
1303,ZT,AWC,Titan  Airways,ZAP,United Kingdom
1304,3V,TAY,TNT  Airways,QUALITY,Belgium
1305,7T,TOB,Tobruk Air,TOBRUK AIR,Libya
1306,TI,TOL,Tol-Air  Services,TOL AIR,United States
1307,TJ,GPD,Tradewind Aviation,GOODSPEED,United States
1308,TL,TMA,Trans  Mediterranean Airlines,TANGO LIMA,Lebanon
1309,AX,LOF,Trans States Airlines,WATERSKI,United States
1310,TW,TWA,Trans World Airlines,TWA,United States
1311,UN,TSO,Transaero Airlines,TRANSOVIET,Russia
1312,GE,TNA,TransAsia Airways,,Taiwan
1313,TO,TVF,Transavia  France,FRANCE SOLEIL,France
1314,HV,TRA,Transavia Holland,TRANSAVIA,Netherlands
1315,AL,TXC,TransAVIAexport Airlines,TRANSEXPORT,Belarus
1316,TR,TBA,Transbrasil,TRANSBRASIL,Brazil
1317,UE,TEP,Transeuropean Airlines,TRANSEURLINE,Russia
1318,T9,TRZ,TransMeridian Airlines,TRANS-MERIDIAN,United States
1319,TH,RMY,Raya Airways,TRANSMILE,Malaysia
1320,TX,TAN,Transportes Aéreos Nacionales,,Honduras
1321,OF,TML,Transports et Travaux  Aériens de Madagascar,TAM AIRLINE,Madagascar
1322,9T,ABS,Transwest  Air,ATHABASKA,Canada
1323,S5,TSJ,Trast Aero,TRAST AERO,Kyrgyzstan
1324,GY,TMG,Tri-MG Intra Asia Airlines,TRILINES,Indonesia
1325,T4,TIB,TRIP Linhas Aéreas,TRIP,Brazil
1326,PM,TOS,Tropic Air,TROPISER,Belize
1327,M7,TBG,Tropical  Airways,,Haiti
1328,BY,TOM,TUI  Airways,TOM JET,United Kingdom
1329,TB,JAF,TUI  fly Belgium,BEAUTY,Belgium
1330,X3,TUI,TUI fly Deutschland,TUI JET,Germany
1331,OR,TFL,TUI fly Netherlands,ORANGE,Netherlands
1332,6B,BLX,TUI  fly Nordic,BLUESCAN,Sweden
1333,TD,TLP,Tulip Air,TULIPAIR,Netherlands
1334,UG,TUX,Tuninter,,Tunisia
1335,TU,TAR,Tunisair,TUNAIR,Tunisia
1336,3T,URN,Turan Air,TURAN,Azerbaijan
1337,TK,THY,Turkish  Airlines,TURKISH,Turkey
1338,T5,TUA,Turkmenistan Airlines,TURKMENISTAN,Turkmenistan
1339,TW,TWB,T'way Air,TWAYAIR,Republic of Korea
1340,T7,TJT,Twin Jet,TWINJET,France
1341,VO,TYR,Tyrolean  Airways,TYROLEAN,Austria
1342,B7,UIA,UNI Air,GLORY,Taiwan
1343,UA,UAL,United Airlines,UNITED,United States
1344,4H,UBD,United Airways,UNITED BANGLADESH,Bangladesh
1345,U7,JUS,USA Jet Airlines,JET USA,United States
1346,U6,SVR,Ural Airlines,SVERDLOVSK AIR,Russia
1347,QU,UGA,Uganda Airlines (1976–2001),UGANDA,Uganda
1348,UR,UGD,Uganda Airlines,CRESTED,Uganda
1349,UF,UKM,UM Airlines,UKRAINE MEDITERRANEE,Ukraine
1350,6Z,UKS,Ukrainian Cargo Airways,CARGOTRANS,Ukraine
1351,OL,ULS,Ultra Air,AIR ULTRA,Colombia
1352,5X,UPS,United Parcel Service,UPS,United States
1353,US,AWE,US Airways,CACTUS,United States
1354,BS,UBG,US-Bangla Airlines,BANGLA STAR,Bangladesh
1355,UH,USH,US Helicopter,US-HELI,United States
1356,QU,UTN,UTair-Ukraine,UT Ukraine,Ukraine
1357,UT,UTA,UTair Aviation,UTAIR,Russia
1358,HY,UZB,Uzbekistan Airways,UZBEK,Uzbekistan
